"","en_tweet","friends_count","url","description","verified","eng_rate","n_hashtags","tweet_length"
"367",TRUE,938,FALSE,FALSE,FALSE,500,0,140
"368",TRUE,1675,TRUE,TRUE,FALSE,0,5,315
"369",TRUE,3078,TRUE,FALSE,FALSE,1.52671755725191,3,144
"370",TRUE,199,TRUE,TRUE,FALSE,0.250208507089241,1,140
"371",FALSE,37894,FALSE,TRUE,TRUE,0.00307862816329044,2,160
"372",FALSE,4466,FALSE,FALSE,FALSE,10.2052451539339,0,140
"373",TRUE,511,TRUE,TRUE,FALSE,0,5,165
"374",TRUE,230,TRUE,TRUE,FALSE,3.09278350515464,5,280
"375",TRUE,66,TRUE,TRUE,FALSE,12.6865671641791,2,311
"376",TRUE,2209,TRUE,TRUE,FALSE,1.08777194298575,1,115
"377",TRUE,234,FALSE,TRUE,FALSE,0,3,126
"378",TRUE,2,FALSE,TRUE,FALSE,0.0222811434682828,4,140
"379",TRUE,323,TRUE,TRUE,FALSE,0.0332336324360253,5,236
"380",TRUE,215,TRUE,TRUE,FALSE,0,3,224
"381",TRUE,192,TRUE,TRUE,FALSE,2.5,8,254
